ARTWORK_ID;BESCHREIBUNG
835671402;Painting Oil on linen
835671404;Sculpture Painted Wood
835671410;Painting Oil on linen
835671416;Painting Acrylic, collage, colour pencil, charcoal and transfers on paper
835671418;Painting Fabric collage on canvas
835671420;Painting Oil on canvas
835671445;Painting oil on linen
835671449;Painting Oil on canvas
835671453;Painting Oil on canvas
835671454;Painting Oil on linen
835671465;Painting Pastel on canvas
835671466;Mixed Media Cyanotype, oxford fabric, glue, rope, dried flowers, epoxy resin, felt, elastane, silicon fiber, sewing thread, silk, serigraphy ink
835671492;Sculpture Sunglass lens, lead came
835671495;Mixed Media Fitted base ball hat, zip ties, acrylic, adhesive, afro wig, clay, Ralph Lauren polo shirt, rope, locks, oil, on medicine cabinet
835671593;Prints & Multiples 1 color etching
835671642;Prints & Multiples 5 panel/9 color screenprint/36 printings
835671746;Painting Tempera grassa, charcoal, and acrylic resin on jute
835671748;Painting Acrylic on canvas
835671749;Painting Digital collage serigraph print with watercolor, ink, acrylic and oil on prepared canvas
835671752;Installation terracotta
835671753;Other Materials Wool, silk, linen, pigment, dye
835671755;Painting Acrylic on canvas
835671756;Painting Oil and metalic oil on canvas
835671796;Painting Oil on canvas
835671797;Painting acrylic and resin on plant fiber
835671799;Installation neon light, mirror, one-way mirror and electric energy
835671805;Painting Gouache on inkjet on paper
835671806;Painting Mixed media, acrylic, collage stitching on canvas
835671809;Work on Paper Oil on paperboard
835671810;Painting oil on canvas
835671812;Sculpture Fabric, wooden beads, steel wire, metal rings, nails and frame
835671846;Painting Acrylic and pigment stick on linen
835671847;Painting Acrylic and oilstick on canvas
835671852;Sculpture Colored PETG 2mm, aluminum base, aluminum fixtures, electrical fixtures
835671857;Work on Paper Mixed media on paper
835671861;Sculpture Fabric, acrylic blanket, wooden beads, zipper and ribbon
835671953;Painting Polyptych of five hand-carved reliefs on walnut wood, gouache and wax
835671998;Painting Oil and acrylic on linen on panel
835672001;Painting Hand-carved relief on walnut wood, gouache and wax
835672002;Painting Hand-carved relief on Xiloxochitl wood, gouache and wax
835672192;Mixed Media Mixed media on canvas
835672242;Mixed Media black & white print on paper, pasted on corrugated sheet, matte varnish
835672293;Installation juta, mirror, gilded wood
835672492;Other Materials Stained-glass window, wire
835672549;Painting Oil on hemp cloth
835672551;Sculpture Oil, acrylic gouache, colored pencil on wood
835672552;Painting Acrylic on canvas
835672594;Painting Oil on canvas in artist's frame
835672595;Painting Dispersion on canvas
835672642;Painting Oil on canvas
835672644;Sculpture Oil on wood
835672701;Sculpture Polished bronze and volcanic rock
835672702;Painting Acrylic on canvas
835672705;Mixed Media Cotton twine, polypropylene rope, acrylic yarn, plastic, glass, metal, crystal, semi precious stone, wood and cowry sea shell beads, tiger tail wire, cotton and polycotton fabrics and fabric dyes
835672743;Painting oil on linen, in 3 parts, in artist's frame
835672744;Painting acrylic on canvas on wood
835672751;Painting Oil, acrylic, spray paint, charcoal, graphite and paper on copper mesh
835672753;Painting Mixed media
835672757;Mixed Media Oil, mixed media on wood panel
835672799;Painting Oil on linen
835672800;Painting Acrylic and Yule Quarry marble dust on canvas and textile with PVC marine vinyl and brass grommets and wood support
835672804;Painting Acrylic on canvas
835672805;Painting Oil on canvas
835672806;Painting Oil on canvas
835672999;Painting Acrylic, graphite, oil pastel, burlap
835673003;Painting Oil on panel 
835673013;Painting Modules of enamelled metal
835673046;Painting Oil on canvas
835673047;Painting Acrylic, oil, African cloth, spray paint, photo collage, glitter and crayon on wood panels
835673048;Painting Oil on canvas
835673049;Painting Acrylic on unstretched canvas
835673050;Painting Silkscreen on paper with hand-painted elements
835673055;Painting Oil on canvas
835673093;Painting Acrylic on canvas
835673097;Sculpture Watercolor, pastel pencil, oil stick, needle holes on watercolor paper tinted with wild snowberries, plexiglass, wood, bronze screws
835673101;Mixed Media Mixed media on canvas
835673102;Painting Oil on canvas
835673103;Painting Oil on canvas 
835673104;Sculpture Bronze, dyed canvas, photo transfer on canvas, and wire rope  
835673243;Painting acrylic on paper
835673599;Painting Carbon transfer and acrylic on linen
835673601;Painting Acrylic on canvas on panel
835673602;Painting Flashe and oil on linen
835673607;Sculpture Brass and mirror
835673608;Painting Oil on linen
835673617;Painting Oil and sand on canvas over board
835673693;Sculpture Glazed ceramic
835673765;Painting Oil on canvas
835673792;Sculpture Untitled (Splash)
835673864;Painting Oil on wood panel
835673867;Painting Acrylic and Flashe on canvas
835673911;Work on Paper Watercolor, acrylic, and collage on paper in four (4) parts
835673965;Painting enamel on sicofoil
835674052;Mixed Media Framed C-prints, laser-cut acrylic, maple wood spacers
835674059;Mixed Media Paintstick, etching ink and silica on two sheets of handmade paper
835674076;Work on Paper ink, graphite and colored pencil on paper
835674099;Painting Oil on linen
835674114;Work on Paper Colored pencil on paper (double-sided)
835674153;Painting acrylic on canvas
835674154;Painting Oil, acrylic, glitter, gold, and palladium leaf on panel
835674157;Painting Oil paint and marble dust on canvas
835674512;Sculpture Paint, glass, zinc coated metal, colored epoxy resin
